text,features,materials,style
"This structure exemplifies the Modernist architectural style. It is primarily built using concrete and plaster. The building showcases buttresses, roofs and towers. With its use of concrete, plaster and distinctive buttresses, the design stands out.",buttresses;roofs;towers,concrete;plaster,Modernist
"The building showcases roofs, columns, vaults and minarets. With its use of concrete, glass and distinctive roofs, the design stands out. It is primarily built using concrete and glass.",roofs;columns;vaults;minarets,concrete;glass,Baroque
"This structure exemplifies the Medieval architectural style. With its use of brick, plaster, mosaic and distinctive columns, the design stands out. The building showcases columns, towers and domes.",columns;towers;domes,brick;plaster;mosaic,Medieval
"With its use of stone, brick, glass and distinctive vaults, the design stands out. The building showcases vaults, columns, balconies and arches. This structure exemplifies the Romanesque architectural style. It is primarily built using stone, brick and glass.",vaults;columns;balconies;arches,stone;brick;glass,Romanesque
"It is primarily built using glass, wood and marble. With its use of glass, wood, marble and distinctive minarets, the design stands out. This structure exemplifies the Islamic architectural style. The building showcases minarets, columns, towers and domes.",minarets;columns;towers;domes,glass;wood;marble,Islamic
"This structure exemplifies the Baroque architectural style. With its use of tile, marble, brick and distinctive arches, the design stands out. It is primarily built using tile, marble and brick.",arches;domes;stained glass,tile;marble;brick,Baroque
"This structure exemplifies the Gothic architectural style. With its use of stone, wood, brick and distinctive towers, the design stands out.",towers;stained glass;domes,stone;wood;brick,Gothic
The building showcases minarets and columns. This structure exemplifies the Baroque architectural style.,minarets;columns,tile;concrete;wood,Baroque
"It is primarily built using marble, brick and stone. With its use of marble, brick, stone and distinctive towers, the design stands out.",towers;balconies;arches;buttresses,marble;brick;stone,Modernist
"The building showcases domes and columns. With its use of plaster, mosaic, wood and distinctive domes, the design stands out.",domes;columns,plaster;mosaic;wood,Medieval
"With its use of plaster, brick and distinctive minarets, the design stands out. This structure exemplifies the Neoclassical architectural style. The building showcases minarets, arches, stained glass and vaults. It is primarily built using plaster and brick.",minarets;arches;stained glass;vaults,plaster;brick,Neoclassical
"This structure exemplifies the Neoclassical architectural style. With its use of stone, glass, wood and distinctive columns, the design stands out. It is primarily built using stone, glass and wood. The building showcases columns, roofs, arches and balconies.",columns;roofs;arches;balconies,stone;glass;wood,Neoclassical
"This structure exemplifies the Neoclassical architectural style. It is primarily built using marble and glass. With its use of marble, glass and distinctive minarets, the design stands out.",minarets;roofs;stained glass,marble;glass,Neoclassical
"The building showcases columns, roofs, towers and balconies. It is primarily built using brick and tile. With its use of brick, tile and distinctive columns, the design stands out.",columns;roofs;towers;balconies,brick;tile,Neoclassical
"With its use of wood, brick, marble and distinctive towers, the design stands out. The building showcases towers, minarets and vaults.",towers;minarets;vaults,wood;brick;marble,Islamic
"With its use of glass, marble, wood and distinctive stained glass, the design stands out. It is primarily built using glass, marble and wood. This structure exemplifies the Renaissance architectural style. The building showcases stained glass and vaults.",stained glass;vaults,glass;marble;wood,Renaissance
"With its use of brick, tile, concrete and distinctive domes, the design stands out. The building showcases domes and arches.",domes;arches,brick;tile;concrete,Neoclassical
"With its use of plaster, wood and distinctive balconies, the design stands out. The building showcases balconies, domes, arches and roofs. It is primarily built using plaster and wood.",balconies;domes;arches;roofs,plaster;wood,Neoclassical
The building showcases balconies and domes. This structure exemplifies the Renaissance architectural style.,balconies;domes,brick;tile;plaster,Renaissance
"The building showcases balconies, roofs, domes and buttresses. With its use of brick, plaster, mosaic and distinctive balconies, the design stands out. This structure exemplifies the Renaissance architectural style.",balconies;roofs;domes;buttresses,brick;plaster;mosaic,Renaissance
"With its use of concrete, tile and distinctive domes, the design stands out. It is primarily built using concrete and tile.",domes;vaults;balconies;towers,concrete;tile,Baroque
"The building showcases buttresses, domes, columns and stained glass. This structure exemplifies the Renaissance architectural style.",buttresses;domes;columns;stained glass,wood;stone,Renaissance
"This structure exemplifies the Byzantine architectural style. With its use of stone, tile and distinctive domes, the design stands out.",domes;buttresses;stained glass;columns,stone;tile,Byzantine
"It is primarily built using brick and plaster. This structure exemplifies the Romanesque architectural style. With its use of brick, plaster and distinctive stained glass, the design stands out. The building showcases stained glass and buttresses.",stained glass;buttresses,brick;plaster,Romanesque
"The building showcases buttresses, arches and balconies. This structure exemplifies the Romanesque architectural style.",buttresses;arches;balconies,mosaic;plaster;tile,Romanesque
"With its use of plaster, glass and distinctive balconies, the design stands out. The building showcases balconies, vaults, buttresses and roofs. This structure exemplifies the Modernist architectural style.",balconies;vaults;buttresses;roofs,plaster;glass,Modernist
"This structure exemplifies the Neoclassical architectural style. It is primarily built using wood, stone and mosaic. With its use of wood, stone, mosaic and distinctive stained glass, the design stands out.",stained glass;arches;domes;minarets,wood;stone;mosaic,Neoclassical
"It is primarily built using brick and plaster. This structure exemplifies the Modernist architectural style. The building showcases vaults and arches. With its use of brick, plaster and distinctive vaults, the design stands out.",vaults;arches,brick;plaster,Modernist
"With its use of glass, wood, brick and distinctive arches, the design stands out. This structure exemplifies the Neoclassical architectural style.",arches;domes;stained glass;towers,glass;wood;brick,Neoclassical
"With its use of wood, brick and distinctive arches, the design stands out. The building showcases arches, columns, domes and minarets.",arches;columns;domes;minarets,wood;brick,Romanesque
"The building showcases columns, stained glass, balconies and arches. It is primarily built using tile and mosaic. With its use of tile, mosaic and distinctive columns, the design stands out.",columns;stained glass;balconies;arches,tile;mosaic,Modernist
"It is primarily built using marble, plaster and concrete. The building showcases arches and towers.",arches;towers,marble;plaster;concrete,Romanesque
"This structure exemplifies the Modernist architectural style. It is primarily built using brick and marble. With its use of brick, marble and distinctive stained glass, the design stands out.",stained glass;balconies;towers,brick;marble,Modernist
"The building showcases vaults, domes and roofs. It is primarily built using plaster, stone and mosaic. With its use of plaster, stone, mosaic and distinctive vaults, the design stands out.",vaults;domes;roofs,plaster;stone;mosaic,Medieval
"With its use of brick, tile and distinctive vaults, the design stands out. It is primarily built using brick and tile. The building showcases vaults and minarets.",vaults;minarets,brick;tile,Romanesque
"This structure exemplifies the Gothic architectural style. With its use of concrete, wood and distinctive buttresses, the design stands out. It is primarily built using concrete and wood. The building showcases buttresses, columns, vaults and towers.",buttresses;columns;vaults;towers,concrete;wood,Gothic
The building showcases vaults and towers. It is primarily built using stone and brick. This structure exemplifies the Byzantine architectural style.,vaults;towers,stone;brick,Byzantine
"This structure exemplifies the Neoclassical architectural style. The building showcases balconies and buttresses. With its use of marble, mosaic, stone and distinctive balconies, the design stands out. It is primarily built using marble, mosaic and stone.",balconies;buttresses,marble;mosaic;stone,Neoclassical
It is primarily built using plaster and wood. The building showcases vaults and roofs. This structure exemplifies the Islamic architectural style.,vaults;roofs,plaster;wood,Islamic
"This structure exemplifies the Medieval architectural style. It is primarily built using brick, marble and mosaic. The building showcases towers, roofs and stained glass. With its use of brick, marble, mosaic and distinctive towers, the design stands out.",towers;roofs;stained glass,brick;marble;mosaic,Medieval
